,subjects,models,rois,count,performance,count_all,pct
0,AH,single,wholeBrain,2203,0.0049134529264304215,4404,0.5002270663033606
1,AH,diphone,wholeBrain,1190,0.013190178617683044,4404,0.27020890099909173
2,AH,triphone,wholeBrain,1011,0.006093132608738614,4404,0.2295640326975477
3,AH,single,ACunique,9,0.007220073456766032,17,0.5294117647058824
4,AH,diphone,ACunique,2,0.005611807806417346,17,0.11764705882352941
5,AH,triphone,ACunique,6,0.0050150273758238955,17,0.35294117647058826
6,AH,single,STG,89,0.010311400765980519,184,0.483695652173913
7,AH,diphone,STG,70,0.022896302619483323,184,0.3804347826086957
8,AH,triphone,STG,25,0.007972335494268918,184,0.1358695652173913
9,AH,single,STS,147,0.015541136915825995,392,0.375
10,AH,diphone,STS,205,0.02489226333990057,392,0.5229591836734694
11,AH,triphone,STS,40,0.008677818512114754,392,0.10204081632653061
12,AH,single,LTCunique,59,0.004260216529088458,126,0.46825396825396826
13,AH,diphone,LTCunique,31,0.014654710283197816,126,0.24603174603174602
14,AH,triphone,LTCunique,36,0.00649796643362303,126,0.2857142857142857
15,AH,single,Broca,23,0.00964539573381088,65,0.35384615384615387
16,AH,diphone,Broca,26,0.022608677706627462,65,0.4
17,AH,triphone,Broca,16,0.006906598162004229,65,0.24615384615384617
18,BG,single,wholeBrain,1732,0.012308486663814053,3716,0.46609257265877285
19,BG,diphone,wholeBrain,822,0.01611041952876686,3716,0.22120559741657697
20,BG,triphone,wholeBrain,1162,0.009606692284446714,3716,0.3127018299246502
21,BG,single,ACunique,6,0.001967862986930413,14,0.42857142857142855
22,BG,diphone,ACunique,2,0.0017684167250990868,14,0.14285714285714285
23,BG,triphone,ACunique,6,0.005404437969749172,14,0.42857142857142855
24,BG,single,STG,38,0.029083219637725147,80,0.475
25,BG,diphone,STG,18,0.024333046914358017,80,0.225
26,BG,triphone,STG,24,0.014504318435986837,80,0.3
27,BG,single,STS,88,0.02394464368675968,186,0.4731182795698925
28,BG,diphone,STS,39,0.022747981911286328,186,0.20967741935483872
29,BG,triphone,STS,59,0.013882094220716065,186,0.3172043010752688
30,BG,single,LTCunique,105,0.031827494397848134,213,0.49295774647887325
31,BG,diphone,LTCunique,61,0.02652369212925999,213,0.2863849765258216
32,BG,triphone,LTCunique,47,0.013891901766405777,213,0.22065727699530516
33,BG,single,Broca,7,0.021258735364036902,19,0.3684210526315789
34,BG,diphone,Broca,6,0.020152715655664604,19,0.3157894736842105
35,BG,triphone,Broca,6,0.010617714452867707,19,0.3157894736842105
36,DS,single,wholeBrain,961,0.011941386464800212,2666,0.36046511627906974
