,subjects,models,rois,count,performance,count_all,pct
0,AH,thirdOrder,wholeBrain,2166,0.014873271929022089,5054,0.42857142857142855
1,AH,semantic,wholeBrain,2888,0.018218486540199013,5054,0.5714285714285714
2,AH,thirdOrder,ACunique,9,0.008647104649248326,14,0.6428571428571429
3,AH,semantic,ACunique,5,0.005655897062933945,14,0.35714285714285715
4,AH,thirdOrder,STG,114,0.026642302532293303,169,0.6745562130177515
5,AH,semantic,STG,55,0.026908389802172843,169,0.3254437869822485
6,AH,thirdOrder,STS,279,0.03294213000271316,363,0.768595041322314
7,AH,semantic,STS,84,0.026686047038072588,363,0.23140495867768596
8,AH,thirdOrder,LTCunique,60,0.015948181401593806,198,0.30303030303030304
9,AH,semantic,LTCunique,138,0.035312256476902185,198,0.696969696969697
10,AH,thirdOrder,Broca,40,0.026041429351789703,76,0.5263157894736842
11,AH,semantic,Broca,36,0.02787355448688484,76,0.47368421052631576
12,BG,thirdOrder,wholeBrain,3017,0.024569558628998362,6971,0.4327929995696457
13,BG,semantic,wholeBrain,3954,0.03181060731994632,6971,0.5672070004303543
14,BG,thirdOrder,ACunique,6,0.007141862105830417,11,0.5454545454545454
15,BG,semantic,ACunique,5,0.011225970089435577,11,0.45454545454545453
16,BG,thirdOrder,STG,97,0.03955360613994363,129,0.751937984496124
17,BG,semantic,STG,32,0.02880073496703517,129,0.24806201550387597
18,BG,thirdOrder,STS,213,0.033347381222663154,315,0.6761904761904762
19,BG,semantic,STS,102,0.040155719957207715,315,0.3238095238095238
20,BG,thirdOrder,LTCunique,189,0.04625272945836682,426,0.44366197183098594
21,BG,semantic,LTCunique,237,0.0486259336964245,426,0.5563380281690141
22,BG,thirdOrder,Broca,18,0.037778164337699614,54,0.3333333333333333
23,BG,semantic,Broca,36,0.052514107483956546,54,0.6666666666666666
24,DS,thirdOrder,wholeBrain,2087,0.027964837627859715,6021,0.34662016276366053
25,DS,semantic,wholeBrain,3934,0.03323901439725548,6021,0.6533798372363395
26,DS,thirdOrder,ACunique,28,0.02796001342046241,42,0.6666666666666666
27,DS,semantic,ACunique,14,0.013462624745443463,42,0.3333333333333333
28,DS,thirdOrder,STG,93,0.040085515869695006,138,0.6739130434782609
29,DS,semantic,STG,45,0.03379547531318773,138,0.32608695652173914
30,DS,thirdOrder,STS,186,0.04511750893320285,315,0.5904761904761905
31,DS,semantic,STS,129,0.04059333602587382,315,0.4095238095238095
32,DS,thirdOrder,LTCunique,113,0.04045986136062528,372,0.30376344086021506
33,DS,semantic,LTCunique,259,0.04410826233119484,372,0.696236559139785
34,DS,thirdOrder,Broca,8,0.030741308932192624,44,0.18181818181818182
35,DS,semantic,Broca,36,0.041945254947576255,44,0.8181818181818182
36,JG,thirdOrder,wholeBrain,2718,0.017522938001595878,8429,0.3224581800925377
37,JG,semantic,wholeBrain,5711,0.03037212083688643,8429,0.6775418199074623
38,JG,thirdOrder,ACunique,21,0.006622843576007567,34,0.6176470588235294
39,JG,semantic,ACunique,13,0.011784352420923265,34,0.38235294117647056
40,JG,thirdOrder,STG,92,0.028975255782469227,151,0.609271523178808
41,JG,semantic,STG,59,0.0264868997062075,151,0.39072847682119205
42,JG,thirdOrder,STS,226,0.02907530248110529,463,0.48812095032397407
43,JG,semantic,STS,237,0.033753692142596374,463,0.5118790496760259
44,JG,thirdOrder,LTCunique,83,0.01395247811568145,280,0.29642857142857143
45,JG,semantic,LTCunique,197,0.03224374516675046,280,0.7035714285714286
46,JG,thirdOrder,Broca,43,0.028465791973610256,68,0.6323529411764706
47,JG,semantic,Broca,25,0.030804227655753493,68,0.36764705882352944
48,ML,thirdOrder,wholeBrain,3193,0.025741126742272025,12304,0.25950910273081923
49,ML,semantic,wholeBrain,9111,0.036232456594507606,12304,0.7404908972691807
50,ML,thirdOrder,ACunique,27,0.021142317134945188,76,0.35526315789473684
51,ML,semantic,ACunique,49,0.0144082467755949,76,0.6447368421052632
52,ML,thirdOrder,STG,159,0.03758063663517303,287,0.554006968641115
53,ML,semantic,STG,128,0.03309814169006131,287,0.445993031358885
54,ML,thirdOrder,STS,295,0.04622613612692645,464,0.6357758620689655
55,ML,semantic,STS,169,0.03469167177325332,464,0.3642241379310345
56,ML,thirdOrder,LTCunique,196,0.035555497176778306,573,0.34205933682373474
57,ML,semantic,LTCunique,377,0.04355940279064191,573,0.6579406631762653
